time,sentpackets@tsung_controller@ip-172-31-28-38 
10,497 
20,345 
30,345 
40,345 
50,345 
60,345 
70,345 
80,345 
90,345 
100,345 
110,345 
120,345 
130,345 
140,345 
150,345 
160,345 
170,345 
180,345 
190,345 
200,345 
210,345 
220,345 
230,345 
240,345 
246,345 
